rxbuf[0]	0x80	
rxbuf[1]	0xc	
rxbuf[2]	0x1	
rxbuf[3]	0x0	
rxbuf[4]	0x0	
rxbuf[5]	0x0	
rxbuf[6]	0x8c	
rxbuf[7]	0x7	
rxbuf[8]	0x90	
rxbuf[9]	0x0	
rxbuf[10]	0x0	
rxbuf[11]	0x0	
rxbuf[12]	0x85	
rxbuf[13]	0x8f	
rxbuf[14]	0xba	
rxbuf[15]	0x32	
rxbuf[16]	0x0	
rxbuf[17]	0x81	
rxbuf[18]	0x0	
rxbuf[19]	0x0	
rxbuf[20]	0x0	
rxbuf[21]	0x0	
rxbuf[22]	0x0	
rxbuf[23]	0x0	
rxbuf[24]	0x0	
rxbuf[25]	0x0	
rxbuf[26]	0x0	
rxbuf[27]	0x0	
rxbuf[28]	0x0	
rxbuf[29]	0x0	
rxbuf[30]	0x50	
rxbuf[31]	0x0	
rxbuf[32]	0x0	
rxbuf[33]	0x81	
rxbuf[34]	0x0	
rxbuf[35]	0x0	
rxbuf[36]	0x0	
rxbuf[37]	0x0	
rxbuf[38]	0x0	
rxbuf[39]	0x0	
rxbuf[40]	0x0	
rxbuf[41]	0x0	
rxbuf[42]	0x0	
rxbuf[43]	0x0	
rxbuf[44]	0x0	
rxbuf[45]	0x0	
rxbuf[46]	0x50	
rxbuf[47]	0x0	
rxbuf[48]	0x0	
rxbuf[49]	0x81	
rxbuf[50]	0x0	
rxbuf[51]	0x0	
rxbuf[52]	0x0	
rxbuf[53]	0x0	
rxbuf[54]	0x0	
rxbuf[55]	0x0	
rxbuf[56]	0x0	
rxbuf[57]	0x0	
rxbuf[58]	0x0	
rxbuf[59]	0x0	
rxbuf[60]	0x0	
rxbuf[61]	0x0	
rxbuf[62]	0x50	
rxbuf[63]	0x0	
rxbuf[64]	0x0	
rxbuf[65]	0x81	
rxbuf[66]	0x0	
rxbuf[67]	0x0	
rxbuf[68]	0x0	
rxbuf[69]	0x0	
rxbuf[70]	0x0	
rxbuf[71]	0x0	
rxbuf[72]	0x0	
rxbuf[73]	0x0	
rxbuf[74]	0x0	
rxbuf[75]	0x0	
rxbuf[76]	0x0	
rxbuf[77]	0x0	
rxbuf[78]	0x50	
rxbuf[79]	0x0	
rxbuf[80]	0x63	
rxbuf[81]	0x1	
rxbuf[82]	0x63	
rxbuf[83]	0x1	
rxbuf[84]	0x63	
rxbuf[85]	0x1	
rxbuf[86]	0x63	
rxbuf[87]	0x1	
rxbuf[88]	0xff	

